domain,package,got_json,ip_count,port,ips,seconds
710a208.2di3p.com,tinnaekie.gvbiuocmcrwxuxbw.qknaefhn,yes,15,30138,8.163.38.119;42.194.186.144;1.14.201.64;8.163.55.197;8.148.243.225;8.148.216.6;123.207.85.65;139.199.173.247;8.148.251.8;193.112.206.162;103.45.129.234;103.120.90.51;8.134.83.115;193.112.75.147;8.163.1.180,5.2
710a294.hzrh1.com,vsytdwwos.sxbyxmxhwbrfrpdg.yspiieex,yes,15,30138,42.194.186.144;123.207.85.65;8.148.251.8;8.134.83.115;103.120.90.51;8.148.243.225;8.163.38.119;8.163.1.180;8.148.216.6;193.112.75.147;1.14.201.64;139.199.173.247;8.163.55.197;103.45.129.234;193.112.206.162,3.6
710b166.zn9ut.com,vwmjq.ykmhdlgq.dwdpmkfmr,yes,15,30138,123.207.85.65;8.163.55.197;8.163.1.180;8.163.38.119;8.148.243.225;8.148.251.8;1.14.201.64;193.112.206.162;103.45.129.234;8.134.83.115;8.148.216.6;139.199.173.247;193.112.75.147;42.194.186.144;103.120.90.51,5.2
710b245.l5neq.com,pjstltpsr.ouqoxtvcqbjyfhrs.jakmkqih,yes,15,30138,42.194.186.144;123.207.85.65;8.163.55.197;1.14.201.64;8.163.38.119;193.112.206.162;8.163.1.180;193.112.75.147;8.134.83.115;139.199.173.247;8.148.216.6;8.148.243.225;103.120.90.51;8.148.251.8;103.45.129.234,5.2
710bw110.vls45.gpzycm.com,wyp.eevatfuxfhgmj.kvoullqlnsphmlichi,yes,14,30154,43.136.105.252;8.134.239.11;103.45.129.234;42.194.177.67;159.75.72.50;1.14.190.197;8.134.171.215;8.134.134.238;8.134.250.210;8.134.131.85;1.14.150.118;8.134.143.176;103.120.90.46;106.52.50.43,5.2
710bw111.vyp77.gpzycm.com,wyp.eevatfuxfhgmj.kvoullqlnsphmlichi,yes,14,30154,103.120.90.46;159.75.72.50;8.134.239.11;8.134.143.176;43.136.105.252;8.134.250.210;8.134.134.238;1.14.150.118;8.134.131.85;106.52.50.43;8.134.171.215;1.14.190.197;42.194.177.67;103.45.129.234,5.2
710bw114.hhf11.gpzycm.com,bhp.qhwpqaqvmkfmq.omokccqseqffnaimip,yes,14,30154,43.136.105.252;8.134.239.11;8.134.143.176;8.134.171.215;106.52.50.43;8.134.250.210;8.134.131.85;103.120.90.46;8.134.134.238;159.75.72.50;1.14.150.118;103.45.129.234;1.14.190.197;42.194.177.67,5.2
710bw115.rmz23.gpzycm.com,ydk.volwbfsxxlajv.xvpdcfkeuxgqonturq,yes,14,30154,43.136.105.252;8.134.143.176;8.134.239.11;159.75.72.50;103.45.129.234;42.194.177.67;103.120.90.46;8.134.250.210;8.134.134.238;1.14.150.118;106.52.50.43;8.134.171.215;1.14.190.197;8.134.131.85,5.2
710bw125.svi83.gpzycm.com,wyp.eevatfuxfhgmj.kvoullqlnsphmlichi,yes,14,30154,106.52.50.43;8.134.239.11;8.134.143.176;43.136.105.252;159.75.72.50;1.14.190.197;103.45.129.234;8.134.131.85;8.134.134.238;103.120.90.46;1.14.150.118;8.134.171.215;8.134.250.210;42.194.177.67,5.2
710bw127.yij47.gpzycm.com,ydk.volwbfsxxlajv.xvpdcfkeuxgqonturq,yes,14,30154,159.75.72.50;8.134.239.11;103.120.90.46;8.134.171.215;1.14.150.118;8.134.131.85;8.134.250.210;8.134.134.238;43.136.105.252;1.14.190.197;103.45.129.234;8.134.143.176;106.52.50.43;42.194.177.67,5.2
710bw130.edf78.gpzycm.com,pxt.nnnlempvhoikd.ppxkcfkgcrsiwhgyhc,yes,14,30154,103.45.129.234;1.14.190.197;159.75.72.50;106.52.50.43;1.14.150.118;103.120.90.46;8.134.131.85;8.134.239.11;8.134.134.238;43.136.105.252;8.134.143.176;8.134.171.215;42.194.177.67;8.134.250.210,10.5
710bw141.zhf84.gpzycm.com,rhs.djlavbdnifqim.mfprymawnjynwofnda,yes,14,30154,103.45.129.234;8.134.134.238;42.194.177.67;8.134.239.11;8.134.143.176;43.136.105.252;8.134.171.215;8.134.250.210;159.75.72.50;1.14.190.197;106.52.50.43;8.134.131.85;103.120.90.46;1.14.150.118,4.6
710bw145.ohs25.gpzycm.com,pjh.svjdehtbejvet.kahbteaeyigirttkdv,yes,14,30154,42.194.177.67;8.134.143.176;1.14.150.118;106.52.50.43;1.14.190.197;8.134.131.85;43.136.105.252;103.45.129.234;103.120.90.46;8.134.239.11;8.134.134.238;159.75.72.50;8.134.171.215;8.134.250.210,3.7
710c102.2ps8d.com,plf.xgxxfywkpyks.msmptalfipgdxrejbq,yes,15,30164,106.52.237.224;103.45.129.234;8.134.150.230;8.138.185.1;8.138.174.98;103.120.90.33;159.75.110.223;8.138.223.141;43.139.30.195;118.89.54.124;8.134.12.120;42.194.139.136;8.134.85.51;106.52.249.93;8.138.161.195,5.2
710c209.dwt1v.com,odf.mcxdqblxoywk.mlvougavfoquaqfaui,yes,15,30164,8.134.12.120;103.120.90.33;118.89.54.124;106.52.249.93;8.134.150.230;8.138.185.1;106.52.237.224;8.138.174.98;42.194.139.136;159.75.110.223;43.139.30.195;103.45.129.234;8.134.85.51;8.138.161.195;8.138.223.141,4.1
710c387.3gxzr.com,vwe.cidkegcgijoxdwdf.nosvfcjktmsjkcbob,yes,10,30139,123.207.40.186;103.45.129.234;8.163.112.72;139.199.159.229;103.120.90.51;8.148.251.123;43.136.38.151;114.132.247.112;111.230.72.238;42.194.181.18,5.2
710cpa1.p7jj6.com,benkulsbi.matesrtqttvanaoo.pavnxrni,yes,15,30138,8.148.251.8;8.163.55.197;8.163.1.180;123.207.85.65;103.120.90.51;42.194.186.144;8.148.216.6;139.199.173.247;103.45.129.234;8.163.38.119;193.112.75.147;8.134.83.115;193.112.206.162;8.148.243.225;1.14.201.64,5.2
710cpa11.ifpwk.com,cse.kbbrmipwrfdxoac.sgrmjdcljiqckeemesdc,yes,14,30145,159.75.28.236;103.45.129.234;43.139.191.182;175.178.58.16;119.29.63.124;119.29.193.76;8.138.185.191;8.138.26.104;103.120.90.46;106.55.196.93;8.138.207.84;8.134.215.2;8.138.7.133;8.134.137.91,10.4
710cpa2.zn9ut.com,gooxfqncc.isayncndhchgmcnd.fyciamek,yes,15,30138,8.163.55.197;103.45.129.234;8.163.38.119;103.120.90.51;8.134.83.115;8.148.251.8;139.199.173.247;8.148.216.6;123.207.85.65;8.148.243.225;1.14.201.64;42.194.186.144;193.112.75.147;8.163.1.180;193.112.206.162,5.2
710cpa3.3ymsm.com,pqw.tlnsaaruyfqt.bvwxxxxixceuuuibpx,yes,15,30164,103.45.129.234;106.52.237.224;8.134.150.230;8.138.185.1;8.134.12.120;8.138.223.141;103.120.90.33;42.194.139.136;118.89.54.124;8.138.161.195;159.75.110.223;106.52.249.93;8.138.174.98;43.139.30.195;8.134.85.51,5.2
710cpa4.xv7kr.com,uqu.ikvsdnwtnfto.cxveccaubkkjfvlknq,yes,15,30164,8.134.150.230;106.52.249.93;118.89.54.124;42.194.139.136;8.138.174.98;8.134.12.120;8.138.223.141;43.139.30.195;8.138.161.195;159.75.110.223;8.138.185.1;103.45.129.234;106.52.237.224;8.134.85.51;103.120.90.33,5.2
710cpa6.4okci.com,lfu.dcuavjluswdaber.nshrgocirwfsvrvaxdfh,yes,14,30145,43.139.191.182;119.29.193.76;8.138.185.191;119.29.63.124;8.134.215.2;8.138.207.84;8.138.7.133;106.55.196.93;175.178.58.16;159.75.28.236;8.138.26.104;103.45.129.234;8.134.137.91;103.120.90.46,10.5
710cpc08.2ah27.com,xmg.rxlghnaymoijebx.mthsgufpwxpfcpo,yes,12,30160,43.139.121.178;175.178.178.53;42.193.185.105;103.45.129.234;8.138.7.148;193.112.105.63;8.163.72.207;106.53.86.64;103.120.90.33;8.134.164.181;8.148.201.213;42.194.159.192,10.4
